INTERPOLATION:INTERPOLATED
22031,159,128,255,255,Jan 2022
22059,223,128,255,255,Feb 2022
22090,255,128,223,255,Mar 2022
22120,255,128,159,255,Apr 2022
22151,255,176,127,255,May 2022
22181,255,223,128,255,Jun 2022
22212,223,255,128,255,Jul 2022
22243,159,255,128,255,Aug 2022
22273,109,220,141,255,Sep 2022
22304,128,255,223,255,Oct 2022
22334,128,223,255,255,Nov 2022
22365,127,189,255,255,Dec 2022
23031, 64,  0,255,255,Jan 2023
23059,191,  0,255,255,Feb 2023
23090,255,  0,191,255,Mar 2023
23120,255,  0, 64,255,Apr 2023
23151,255,100,  0,255,May 2023
23181,255,191,  0,255,Jun 2023
23212,191,255,  0,255,Jul 2023
23243, 64,255,  0,255,Aug 2023
23273,  0,220, 64,255,Sep 2023
23304,  0,255,191,255,Oct 2023
23334,  0,191,255,255,Nov 2023
23365,  0,120,255,255,Dec 2023
24031,159,128,255,255,Jan 2024
24060,223,128,255,255,Feb 2024
24091,255,128,223,255,Mar 2024
24121,255,128,159,255,Apr 2024
24152,255,176,127,255,May 2024
24182,255,223,128,255,Jun 2024
24213,223,255,128,255,Jul 2024
24244,159,255,128,255,Aug 2024
24274,109,220,141,255,Sep 2024
24305,128,255,223,255,Oct 2024
24335,128,223,255,255,Nov 2024
24366,127,189,255,255,Dec 2024
