INTERPOLATION:DISCRETE
20031,159,128,255,255,Jan 2020
20060,223,128,255,255,Feb 2020
20091,255,128,223,255,Mar 2020
20121,255,128,159,255,Apr 2020
20152,255,176,127,255,May 2020
20182,255,223,128,255,Jun 2020
20213,223,255,128,255,Jul 2020
20244,159,255,128,255,Aug 2020
20274,109,220,141,255,Sep 2020
20305,128,255,223,255,Oct 2020
20335,128,223,255,255,Nov 2020
20366,127,189,255,255,Dec 2020
21031, 64,  0,255,255,Jan 2021
21059,191,  0,255,255,Feb 2021
21090,255,  0,191,255,Mar 2021
21120,255,  0, 64,255,Apr 2021
21151,255,100,  0,255,May 2021
21181,255,191,  0,255,Jun 2021
21212,191,255,  0,255,Jul 2021
21243, 64,255,  0,255,Aug 2021
21273,  0,220, 64,255,Sep 2021
21304,  0,255,191,255,Oct 2021
21334,  0,191,255,255,Nov 2021
21365,  0,120,255,255,Dec 2021
22031,159,128,255,255,Jan 2022
22059,223,128,255,255,Feb 2022
22090,255,128,223,255,Mar 2022
22120,255,128,159,255,Apr 2022
22151,255,176,127,255,May 2022
22181,255,223,128,255,Jun 2022
22212,223,255,128,255,Jul 2022
22243,159,255,128,255,Aug 2022
22273,109,220,141,255,Sep 2022
22304,128,255,223,255,Oct 2022
22334,128,223,255,255,Nov 2022
22365,127,189,255,255,Dec 2022
